node_1|node_2|edge|chunk_id|node_3|edge_1
rakta|mama|In Ayurveda, Ojas is responsible for consciousness, purity in thoughts, health, positivity in feelings in every situation, better immunity, longevity, intelligence, and memory. The three primary Malas (waste products) are Purisha (faeces), Mutra (urine), and Sveda (sweat). These are the waste products of food and the Dhatus (tissues) produced during the normal digestive and metabolic process.|f4ab7571bc644ab1900704b11583b2ed||
mama|rakta|In Ayurveda, Ojas is responsible for consciousness, purity in thoughts, health, positivity in feelings in every situation, better immunity, longevity, intelligence, and memory. The three primary Malas (waste products) are Purisha (faeces), Mutra (urine), and Sveda (sweat). These are the waste products of food and the Dhatus (tissues) produced during the normal digestive and metabolic process.|f4ab7571bc644ab1900704b11583b2ed||
mamsa|mama|In Ayurveda, Ojas is responsible for consciousness, purity in thoughts, health, positivity in feelings in every situation, better immunity, longevity, intelligence, and memory. The three primary Malas (waste products) are Purisha (faeces), Mutra (urine), and Sveda (sweat). These are the waste products of food and the Dhatus (tissues) produced during the normal digestive and metabolic process.|f4ab7571bc644ab1900704b11583b2ed||
medas|mama|In Ayurveda, Ojas is responsible for consciousness, purity in thoughts, health, positivity in feelings in every situation, better immunity, longevity, intelligence, and memory. The three primary Malas (waste products) are Purisha (faeces), Mutra (urine), and Sveda (sweat). These are the waste products of food and the Dhatus (tissues) produced during the normal digestive and metabolic process.|f4ab7571bc644ab1900704b11583b2ed||
asthi|mama|In Ayurveda, Ojas is responsible for consciousness, purity in thoughts, health, positivity in feelings in every situation, better immunity, longevity, intelligence, and memory. The three primary Malas (waste products) are Purisha (faeces), Mutra (urine), and Sveda (sweat). These are the waste products of food and the Dhatus (tissues) produced during the normal digestive and metabolic process.|f4ab7571bc644ab1900704b11583b2ed||
shukra|mama|In Ayurveda, Ojas is responsible for consciousness, purity in thoughts, health, positivity in feelings in every situation, better immunity, longevity, intelligence, and memory. The three primary Malas (waste products) are Purisha (faeces), Mutra (urine), and Sveda (sweat). These are the waste products of food and the Dhatus (tissues) produced during the normal digestive and metabolic process.|f4ab7571bc644ab1900704b11583b2ed||
dhatu|mama|In Ayurveda, Ojas is responsible for consciousness, purity in thoughts, health, positivity in feelings in every situation, better immunity, longevity, intelligence, and memory. The three primary Malas (waste products) are Purisha (faeces), Mutra (urine), and Sveda (sweat). These are the waste products of food and the Dhatus (tissues) produced during the normal digestive and metabolic process.|f4ab7571bc644ab1900704b11583b2ed||
pinda|mama|In Ayurveda, Ojas is responsible for consciousness, purity in thoughts, health, positivity in feelings in every situation, better immunity, longevity, intelligence, and memory. The three primary Malas (waste products) are Purisha (faeces), Mutra (urine), and Sveda (sweat). These are the waste products of food and the Dhatus (tissues) produced during the normal digestive and metabolic process.|f4ab7571bc644ab1900704b11583b2ed||
agni|digestion|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|life force|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
samana|agni|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|agni|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|agni|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|agni|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
samana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|vyana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|vyana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
samana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|vyana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
samana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|vyana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
apana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
udana|apana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
prana|udana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
vyana|samana|In Ayurveda, the Doshas are responsible for the physiological and psychological functions within the body and mind as dynamic forces that determine growth and decay.|f4ab7571bc644ab1900704b11583b2ed||
